rxn05465:	['"KEGG:R01626"']
rxn05457:	['']
rxn02405:	['"KEGG:R03351"']
rxn05306:	['']
rxn01022:	['"KEGG:R01402"']
rxn01360:	['"KEGG:R01867"']
rxn08335:	['']
rxn08336:	['']
rxn02028:	['"KEGG:R02821"']
rxn05957:	['"KEGG:R01288"']
rxn00790:	['"KEGG:R01072"']
rxn01603:	['"KEGG:R02237"']
rxn00689:	['"KEGG:R00942"']
rxn02508:	['"KEGG:R03509"']
rxn06937:	['"KEGG:R05578"']
rxn13915:	['']
rxn00295:	['"KEGG:R00418"']
rxn08040:	['"KEGG:R08856"']
rxn00297:	['"KEGG:R00420"']
rxn00364:	['"KEGG:R00512"']
rxn01219:	['"KEGG:R01665"']
rxn02476:	['"KEGG:R03460"']
rxn01256:	['"KEGG:R01715"']
rxn01000:	['"KEGG:R01373"']
rxn03445:	['"KEGG:R05085"']
rxn02914:	['"KEGG:R04173"']
rxn03057:	['"KEGG:R04420"']
rxn12892:	['']
rxn05003:	['"KEGG:R07235"']
rxn08353:	['']
rxn03395:	['"KEGG:R04988"']
rxn05298:	['']
rxn01476:	['"KEGG:R02035"']
rxn09502:	['']
rxn00216:	['"KEGG:R00299"']
rxn01477:	['"KEGG:R02036"']
rxn05595:	['']
rxn03167:	['"KEGG:R04620"']
rxn01398:	['"KEGG:R01911"']
rxn08766:	['']
rxn03511:	['"KEGG:R05176"']
rxn00166:	['"KEGG:R00221"']
rxn00374:	['"KEGG:R00524"']
rxn13860:	['"KEGG:R08939"']
rxn01672:	['"KEGG:R02325"']
rxn06443:	['"KEGG:R03659"']
rxn01434:	['"KEGG:R01954"']
rxn01465:	['"KEGG:R01993"']
rxn01492:	['"KEGG:R02071"']
rxn02314:	['"KEGG:R03236"']
rxn05581:	['']
rxn06139:	['"KEGG:R02240"']
rxn08294:	['']
rxn08295:	['']
rxn08296:	['']
rxn08297:	['']
rxn08298:	['']
rxn08299:	['']
rxn08300:	['']
rxn00132:	['"KEGG:R00183"']
rxn00363:	['"KEGG:R00511"']
rxn01507:	['"KEGG:R02088"']
rxn01218:	['"KEGG:R01664"']
rxn01445:	['"KEGG:R01968"']
rxn01145:	['"KEGG:R01569"']
rxn01521:	['"KEGG:R02102"']
rxn00913:	['"KEGG:R01227"']
rxn00831:	['"KEGG:R01126"']
rxn00708:	['"KEGG:R00963"']
rxn01961:	['"KEGG:R02719"']
rxn03910:	['"KEGG:R05637"']
rxn03907:	['"KEGG:R05633"']
rxn00459:	['"KEGG:R00658"']
rxn02331:	['"KEGG:R03254"']
rxn00412:	['"KEGG:R00573"']
rxn00410:	['"KEGG:R00571"']
rxn06673:	['"KEGG:R04386"']
rxn05030:	['"KEGG:R07269"']
rxn00119:	['"KEGG:R00158"']
rxn01517:	['"KEGG:R02098"']
rxn03087:	['"KEGG:R04475"']
rxn03031:	['"KEGG:R04365"']
rxn08546:	['']
rxn08547:	['']
rxn08548:	['']
rxn08549:	['']
rxn08551:	['']
rxn10204:	['']
rxn08067:	['']
